Instrument,Currency,Result,Quantity,Entry Dt,Entry,Closure Dt,Closure,Result in BC,Dividends,Multiplier,Type
MUR 6 7/8 08/15/24,USD,150.00000000000125,10000.0,2021-02-04,1.005,2021-03-29,1.02,150.00000000000125,87.85,1.0,Bonds
SIG 4.7 06/15/24,USD,62.499999999998664,50000.0,2021-03-10,1.0025,2021-04-06,1.00375,62.499999999998664,737.64,1.0,Bonds
CI 16APR21 190.0 P,USD,-170.00000000000003,-1.0,2021-02-22,6.0,2021-02-25,4.3,-170.00000000000003,,100.0,Equity and Index Options
GME 05FEB21 400.0 C,USD,-8690.0,-2.0,2021-02-01,43.45,2021-02-05,0.0,-8690.0,,100.0,Equity and Index Options
GME 05MAR21 45.0 C,USD,-2560.0,-2.0,2021-02-12,12.8,2021-03-05,0.0,-2560.0,,100.0,Equity and Index Options
GME 07MAY21 250.0 C,USD,-1121.0,-1.0,2021-04-19,12.2,2021-05-03,0.99,-1121.0,,100.0,Equity and Index Options
GME 12FEB21 200.0 C,USD,-2250.0,-1.0,2021-02-02,22.5,2021-02-12,0.0,-2250.0,,100.0,Equity and Index Options
GME 19MAR21 200.0 C,USD,-5800.0,-2.0,2021-03-08,29.0,2021-03-19,0.0,-5800.0,,100.0,Equity and Index Options
GME 21MAY21 140.0 P,USD,-484.99999999999994,-1.0,2021-05-10,5.5,2021-05-17,0.65,-484.99999999999994,,100.0,Equity and Index Options
NESN 19MAR21 98.0 P,CHF,-200.0,-2.0,2021-02-18,1.0,2021-03-19,0.0,-218.00000000000003,,100.0,Equity and Index Options
NVT 19MAR21 22.5 P,USD,-700.0,-10.0,2021-02-12,0.7,2021-03-19,0.0,-700.0,,100.0,Equity and Index Options
QRVO 20AUG21 140.0 P,USD,-2364.0,-3.0,2021-02-04,10.8,2021-04-01,2.92,-2364.0,,100.0,Equity and Index Options
TSLA 16APR21 500.0 P,USD,-2209.0,-1.0,2021-03-04,24.0,2021-04-01,1.91,-2209.0,,100.0,Equity and Index Options
TSLA 16JUL21 400.0 P,USD,-840.0,-1.0,2021-05-13,11.4,2021-05-26,3.0,-840.0,,100.0,Equity and Index Options
TSLA 19MAR21 700.0 P,USD,2445.9999999999995,1.0,2021-01-07,54.0,2021-02-23,78.46,2445.9999999999995,,100.0,Equity and Index Options
AUD.USD,USD,-2649.99999999993,1000000.0,2021-03-23,0.76789,2021-03-23,0.76524,-2649.99999999993,,1.0,Forex
EUR.JPY,JPY,-179999.9999999997,-500000.0,2021-02-08,127.06,2021-02-08,126.7,-1619.9999999999973,,1.0,Forex
EUR.USD,USD,829.9374999999054,625000.0,2021-01-07,1.2149301000000001,2021-02-22,1.216258,829.9374999999054,,1.0,Forex
EUR.USD,USD,473.3124999999894,250000.0,2021-01-07,1.2149034,2021-02-23,1.21681,473.3124999999894,,1.0,Forex
EUR.USD,USD,900.3999999999955,250000.0,2021-01-07,1.2149034,2021-02-25,1.218505,900.3999999999955,,1.0,Forex
EUR.USD,USD,596.2499999999926,125000.0,2021-01-07,1.1849,2021-03-09,1.18967,596.2499999999926,,1.0,Forex
GBP.USD,USD,1265.9999999999673,-300000.0,2021-02-18,1.3971,2021-02-19,1.40132,1265.9999999999673,,1.0,Forex
NZD.USD,USD,1241.0000000000032,200000.0,2021-03-23,0.700615,2021-04-05,0.70682,1241.0000000000032,,1.0,Forex
USD.CAD,CAD,-442.9999999999934,-100000.0,2021-02-18,1.26732,2021-02-19,1.26289,-358.8299999999947,,1.0,Forex
6AH1,USD,824.9999999999868,2.0,2021-01-07,0.7738750000000001,2021-01-21,0.778,824.9999999999868,,100000.0,Futures
6AH1,USD,1094.999999999946,3.0,2021-01-07,0.7657000000000002,2021-01-28,0.76935,1094.999999999946,,100000.0,Futures
6AH1,USD,2090.000000000003,3.0,2021-01-07,0.7640333333333333,2021-02-08,0.771,2090.000000000003,,100000.0,Futures
6AH1,USD,739.9999999999962,1.0,2021-01-07,0.7773,2021-02-19,0.7847,739.9999999999962,,100000.0,Futures
6AH1,USD,1804.9998000000178,6.0,2021-01-07,0.7673249999999999,2021-03-09,0.770333333,1804.9998000000178,,100000.0,Futures
6EM1,USD,287.4999999999961,4.0,2021-03-17,1.191925,2021-04-14,1.1925,287.4999999999961,,125000.0,Futures
S30YK1,USD,121.99999999999989,1.0,2021-04-15,22.23,2021-05-20,23.45,121.99999999999989,,100.0,Futures
ZB   JUN 21,USD,-906.25,-1.0,2021-04-15,158.75,2021-04-16,157.84375,-906.25,,1000.0,Futures
ZN   JUN 21,USD,-578.125,-1.0,2021-04-15,132.5,2021-04-28,131.921875,-578.125,,1000.0,Futures
AUD 09APR21 0.76 P,USD,-1200.0,-3.0,2021-03-23,0.004,2021-04-09,0.0,-1200.0,,100000.0,Options On Futures
EUR 03MAR21 1.215 C,USD,-1274.9999999999998,-8.0,2021-02-18,0.002875,2021-02-26,0.0016,-1274.9999999999998,,125000.0,Options On Futures
EUR 07APR21 1.19 P,USD,-550.0,-1.0,2021-03-18,0.0044,2021-04-07,0.0,-550.0,,125000.0,Options On Futures
EUR 14APR21 1.1925 C,USD,-1000.0,-4.0,2021-04-06,0.002,2021-04-14,0.0,-1000.0,,125000.0,Options On Futures
EUR 17MAR21 1.2 P,USD,-600.0,-4.0,2021-03-01,0.0036,2021-03-03,0.0024,-600.0,,125000.0,Options On Futures
EUR 17MAR21 1.2 P,USD,-1062.5,-1.0,2021-03-01,0.0085,2021-03-17,0.0,-1062.5,,125000.0,Options On Futures
EUR 24FEB21 1.215 C,USD,-2362.5,-9.0,2021-02-12,0.0031,2021-02-17,0.001,-2362.5,,125000.0,Options On Futures
GC APR21 1700.0 P,USD,-180.00000000000006,-1.0,2021-02-19,10.0,2021-02-25,8.2,-180.00000000000006,,100.0,Options On Futures
3436.T,JPY,129000.0,1000.0,2021-02-16,2482.0,2021-02-24,2611.0,1161.0,,1.0,Stocks
700,HKD,9000.0,200.0,2021-03-25,608.0,2021-04-06,653.0,1170.0,,1.0,Stocks
968,HKD,33599.99999999999,20000.0,2021-03-05,13.14,2021-03-12,14.82,4367.999999999999,,1.0,Stocks
968,HKD,24079.999999999985,14000.0,2021-03-05,12.72,2021-04-22,14.44,3130.3999999999983,,1.0,Stocks
968,HKD,7199.999999999989,20000.0,2021-03-05,13.34,2021-05-27,13.7,935.9999999999986,,1.0,Stocks
AAPL,USD,558.0000000000041,200.0,2021-02-01,134.51,2021-02-04,137.3,558.0000000000041,,1.0,Stocks
AAPL,USD,0.0,200.0,2021-02-01,132.0,2021-04-09,132.0,0.0,,1.0,Stocks
ABN,EUR,839.9999999999981,3000.0,2021-02-01,8.72,2021-02-16,9.0,1018.1807999999977,,1.0,Stocks
AGS,EUR,442.499999999999,250.0,2021-01-28,42.53,2021-02-03,44.3,536.3630999999988,,1.0,Stocks
BN,EUR,412.00000000000045,200.0,2021-01-28,55.14,2021-02-22,57.2,499.39344000000057,,1.0,Stocks
CX,USD,2374.3000000000025,5000.0,2021-02-03,6.349939999999999,2021-02-25,6.8248,2374.3000000000025,,1.0,Stocks
CX,USD,872.8000000000015,4000.0,2021-02-03,6.885,2021-04-05,7.1032,872.8000000000015,,1.0,Stocks
DBA,USD,-479.4899999999984,2000.0,2021-02-17,17.0,2021-03-31,16.760255,-479.4899999999984,,1.0,Stocks
DG,EUR,652.3799999999994,200.0,2021-01-28,78.0,2021-02-03,81.2619,790.7628455999993,,1.0,Stocks
ETN,USD,795.0000000000002,200.0,2021-02-08,120.0,2021-02-12,123.975,795.0000000000002,,1.0,Stocks
GFI,USD,1559.9999999999986,3000.0,2021-02-03,9.18,2021-03-17,9.7,1559.9999999999986,640.15,1.0,Stocks
