Financial Instrument Information,Header,Asset Category,Symbol,Description,Conid,Security ID,Listing Exch,Multiplier,Type,Code
Financial Instrument Information,Header,Asset Category,Symbol,Description,Conid,Security ID,Listing Exch,Multiplier,Type,Code
Financial Instrument Information,Data,Stocks,3436.T,SUMCO CORP,36844262,JP3322930003,TSEJ,1,COMMON,
Financial Instrument Information,Data,Stocks,700,TENCENT HOLDINGS LTD,152791428,KYG875721634,SEHK,1,COMMON,
Financial Instrument Information,Data,Stocks,968,XINYI SOLAR HOLDINGS LTD,139831920,KYG9829N1025,SEHK,1,COMMON,
Financial Instrument Information,Data,Stocks,9888,BAIDU INC-CLASS A,476787454,KYG070341048,SEHK,1,COMMON,
Financial Instrument Information,Data,Stocks,AAPL,APPLE INC,265598,US0378331005,NASDAQ,1,COMMON,
Financial Instrument Information,Data,Stocks,ABN,ABN AMRO BANK NV-CVA,212289339,NL0011540547,AEB,1,DUTCH CERT,
Financial Instrument Information,Data,Stocks,AGS,AGEAS,111604420,BE0974264930,ENEXT.BE,1,COMMON,
Financial Instrument Information,Data,Stocks,BN,DANONE,29612111,FR0000120644,SBF,1,COMMON,
Financial Instrument Information,Data,Stocks,CX,CEMEX SAB-SPONS ADR PART CER,6257,US1512908898,NYSE,1,ADR,
Financial Instrument Information,Data,Stocks,DBA,INVESCO DB AGRICULTURE FUND,319355717,US46140H1068,ARCA,1,ETF,
Financial Instrument Information,Data,Stocks,DG,VINCI SA,29612226,FR0000125486,SBF,1,COMMON,
Financial Instrument Information,Data,Stocks,ETN,EATON CORP PLC,118017869,IE00B8KQN827,NYSE,1,COMMON,
Financial Instrument Information,Data,Stocks,GFI,GOLD FIELDS LTD-SPONS ADR,6857605,US38059T1060,NYSE,1,ADR,
Financial Instrument Information,Data,Stocks,GME,GAMESTOP CORP-CLASS A,36285627,US36467W1099,NYSE,1,COMMON,
Financial Instrument Information,Data,Stocks,HMY,HARMONY GOLD MNG-SPON ADR,4812805,US4132163001,NYSE,1,ADR,
Financial Instrument Information,Data,Stocks,INN1d,ING GROEP NV,240601748,NL0011821202,AEB,1,COMMON,
Financial Instrument Information,Data,Stocks,LIGHT,SIGNIFY NV,234917703,NL0011821392,AEB,1,COMMON,
Financial Instrument Information,Data,Stocks,MBT,MOBILE TELESYSTEMS-SP ADR,9541728,US6074091090,NYSE,1,ADR,
Financial Instrument Information,Data,Stocks,NCM,NEWCREST MINING LIMITED,11289568,AU000000NCM7,ASX,1,COMMON,
Financial Instrument Information,Data,Stocks,NEM,NEWMONT CORP,10174,US6516391066,NYSE,1,COMMON,
Financial Instrument Information,Data,Stocks,PAASF,PAN AMERICAN SILVER CORP-CVR,355087270,CA6979001329,PINK,1,RIGHT,
Financial Instrument Information,Data,Stocks,PBR,PETROLEO BRASILEIRO-SPON ADR,10828168,US71654V4086,NYSE,1,ADR,
Financial Instrument Information,Data,Stocks,PRX,PROSUS NV,382625193,NL0013654783,AEB,1,COMMON,
Financial Instrument Information,Data,Stocks,QQQ,INVESCO QQQ TRUST SERIES 1,320227571,US46090E1038,NASDAQ,1,ETF,
Financial Instrument Information,Data,Stocks,R6Cd,ROYAL DUTCH SHELL PLC-A SHS,35150657,GB00B03MLX29,AEB,1,COMMON,
Financial Instrument Information,Data,Stocks,RB.,RECKITT BENCKISER GROUP PLC,46713230,GB00B24CGK77,LSE,1,COMMON,
Financial Instrument Information,Data,Stocks,RDSA.DIV,ROYAL DUTCH SHELL PLC-A DIV RTS 210329,471759734,NL00150006B0,CORPACT,1,RIGHT,
Financial Instrument Information,Data,Stocks,SGO,COMPAGNIE DE SAINT-GOBAIN,29612189,FR0000125007,SBF,1,COMMON,
Financial Instrument Information,Data,Stocks,SOLB,SOLVAY SA,228869,BE0003470755,ENEXT.BE,1,COMMON,
Financial Instrument Information,Data,Stocks,SSRM,SSR MINING INC,284632514,CA7847301032,TSE,1,COMMON,
Financial Instrument Information,Data,Stocks,TYR,TYRO PAYMENTS LTD,394126585,AU0000066508,ASX,1,COMMON,
Financial Instrument Information,Data,Stocks,UNVB,UNILEVER PLC,404271848,GB00B10RZP78,AEB,1,COMMON,
Financial Instrument Information,Data,Stocks,VIV,VIVENDI,29612113,FR0000127771,SBF,1,COMMON,
Financial Instrument Information,Data,Stocks,VOW3d,VOLKSWAGEN AG-PREF,14237,DE0007664039,IBIS,1,PREFERENCE,
Financial Instrument Information,Header,Asset Category,Symbol,Description,Conid,Listing Exch,Multiplier,Expiry,Delivery Month,Type
Financial Instrument Information,Data,Equity and Index Options,CI    210416P00190000,CI 16APR21 190.0 P,440922500,CBOE,100,16/04/2021,2021-04,P
Financial Instrument Information,Data,Equity and Index Options,COP   210820C00055000,COP 20AUG21 55.0 C,460829297,CBOE,100,20/08/2021,2021-08,C
Financial Instrument Information,Data,Equity and Index Options,COP   210820C00060000,COP 20AUG21 60.0 C,461694684,CBOE,100,20/08/2021,2021-08,C
Financial Instrument Information,Data,Equity and Index Options,COP   210820P00047000,COP 20AUG21 47.0 P,460829406,CBOE,100,20/08/2021,2021-08,P
Financial Instrument Information,Data,Equity and Index Options,GME   210205C00400000,GME 05FEB21 400.0 C,468247411,CBOE,100,05/02/2021,2021-02,C
Financial Instrument Information,Data,Equity and Index Options,GME   210212C00200000,GME 12FEB21 200.0 C,467766406,CBOE,100,12/02/2021,2021-02,C
Financial Instrument Information,Data,Equity and Index Options,GME   210305C00045000,GME 05MAR21 45.0 C,467057987,CBOE,100,05/03/2021,2021-03,C
Financial Instrument Information,Data,Equity and Index Options,GME   210319C00200000,GME 19MAR21 200.0 C,467767758,CBOE,100,19/03/2021,2021-03,C
Financial Instrument Information,Data,Equity and Index Options,GME   210507C00250000,GME 07MAY21 250.0 C,478860246,CBOE,100,07/05/2021,2021-05,C
Financial Instrument Information,Data,Equity and Index Options,GME   210521P00140000,GME 21MAY21 140.0 P,477880127,CBOE,100,21/05/2021,2021-05,P
Financial Instrument Information,Data,Equity and Index Options,NVT   210319P00022500,NVT 19MAR21 22.5 P,465714129,CBOE,100,19/03/2021,2021-03,P
Financial Instrument Information,Data,Equity and Index Options,P NESN MAR 21  9800,NESN 19MAR21 98.0 P,450044196,SOFFEX,100,19/03/2021,2021-03,P
Financial Instrument Information,Data,Equity and Index Options,QRVO  210820P00140000,QRVO 20AUG21 140.0 P,461086155,CBOE,100,20/08/2021,2021-08,P
Financial Instrument Information,Data,Equity and Index Options,SPX   210716P03700000,SPX 16JUL21 3700.0 P,465899562,CBOE,100,16/07/2021,2021-07,P
Financial Instrument Information,Data,Equity and Index Options,SPX   210820P03700000,SPX 20AUG21 3700.0 P,472425377,CBOE,100,20/08/2021,2021-08,P
Financial Instrument Information,Data,Equity and Index Options,TSLA  210319P00700000,TSLA 19MAR21 700.0 P,434132570,CBOE,100,19/03/2021,2021-03,P
Financial Instrument Information,Data,Equity and Index Options,TSLA  210416P00500000,TSLA 16APR21 500.0 P,466753690,CBOE,100,16/04/2021,2021-04,P
Financial Instrument Information,Data,Equity and Index Options,TSLA  210716P00400000,TSLA 16JUL21 400.0 P,440656503,CBOE,100,16/07/2021,2021-07,P
Financial Instrument Information,Header,Asset Category,Symbol,Description,Conid,Listing Exch,Multiplier,Expiry,Delivery Month,Code
Financial Instrument Information,Data,Futures,6AH1,AUD 15MAR21,225389981,GLOBEX,"100,000",15/03/2021,2021-03,
Financial Instrument Information,Data,Futures,6EM1,EUR 14JUN21,236642141,GLOBEX,"125,000",14/06/2021,2021-06,
Financial Instrument Information,Data,Futures,S30YK1,30YSME 21MAY21,478139078,SMFE,100,21/05/2021,2021-05,
Financial Instrument Information,Data,Futures,ZB   JUN 21,ZB 21JUN21,446336401,ECBOT,"1,000",21/06/2021,2021-06,
Financial Instrument Information,Data,Futures,ZN   JUN 21,ZN 21JUN21,446336394,ECBOT,"1,000",21/06/2021,2021-06,
Financial Instrument Information,Data,Futures,ZN   SEP 21,ZN 21SEP21,461606733,ECBOT,"1,000",21/09/2021,2021-09,
Financial Instrument Information,Header,Asset Category,Symbol,Description,Conid,Listing Exch,Multiplier,Expiry,Delivery Month,Type
Financial Instrument Information,Data,Options On Futures,ADUJ1 P0760,AUD 09APR21 0.76 P,416350703,GLOBEX,"100,000",09/04/2021,2021-04,P
Financial Instrument Information,Data,Options On Futures,OGJ1 P1700,GC APR21 1700.0 P,376243928,NYMEX,100,25/03/2021,2021-04,P
Financial Instrument Information,Data,Options On Futures,WE1H1 C1215,EUR 03MAR21 1.215 C,469724430,GLOBEX,"125,000",03/03/2021,2021-03,C
Financial Instrument Information,Data,Options On Futures,WE1J1 P1190,EUR 07APR21 1.19 P,476435866,GLOBEX,"125,000",07/04/2021,2021-04,P
Financial Instrument Information,Data,Options On Futures,WE2J1 C1192,EUR 14APR21 1.1925 C,477844810,GLOBEX,"125,000",14/04/2021,2021-04,C
Financial Instrument Information,Data,Options On Futures,WE3H1 P1200,EUR 17MAR21 1.2 P,472512221,GLOBEX,"125,000",17/03/2021,2021-03,P
Financial Instrument Information,Data,Options On Futures,WE4G1 C1215,EUR 24FEB21 1.215 C,468561202,GLOBEX,"125,000",24/02/2021,2021-02,C
Financial Instrument Information,Header,Asset Category,Symbol,Description,Conid,Security ID,Listing Exch,Multiplier,Type,Issuer
Financial Instrument Information,Data,Bonds,ATI 5 7/8 08/15/23,ATI 5 7/8 08/15/23,130938936,US01741RAF91,,1,Corp,ATI
Financial Instrument Information,Data,Bonds,BRASKM 6.45 02/03/24,BRASKM 6.45 02/03/24,143041079,US10553YAF25,,1,Corp,BRASKM
Financial Instrument Information,Data,Bonds,DSPORT 5 3/8 08/15/26,DSPORT 5 3/8 08/15/26,375020605,USU2527JAA35,,1,Corp,DSPORT
Financial Instrument Information,Data,Bonds,FLR 3 1/2 12/15/24,FLR 3 1/2 12/15/24,174134660,US343412AC69,,1,Corp,FLR
Financial Instrument Information,Data,Bonds,MUR 6 7/8 08/15/24,MUR 6 7/8 08/15/24,243798094,US626717AH56,,1,Corp,MUR
Financial Instrument Information,Data,Bonds,SIG 4.7 06/15/24,SIG 4.7 06/15/24,151615542,US82671AAA16,,1,Corp,SIG
